Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy,Label,File,Label_ID
8.41,16.39578909354472,268.8219,18.42688253612097,113.0,0.0,113.0,5.5,1346354.0,Minor_Fault,Minor_fault_007_window_004.csv,1
8.79,17.65179594262295,311.5859000000001,19.71927990571664,113.0,0.0,113.0,5.5,1558410.0,Minor_Fault,Minor_fault_007_window_005.csv,1
6.82,12.077565979948112,145.86759999999998,13.870111751532502,68.0,0.0,68.0,5.5,732076.0,Minor_Fault,Minor_fault_007_window_006.csv,1
8.19,13.932476448930387,194.11389999999992,16.161373703989398,61.0,0.0,61.0,5.5,971494.0,Minor_Fault,Minor_fault_007_window_007.csv,1
13.05,18.49722952228252,342.1475,22.637358503146963,64.0,0.0,64.0,5.5,1711937.9999999998,Minor_Fault,Minor_fault_007_window_008.csv,1
15.28,22.40896249271706,502.1616,27.1226842329442,105.0,0.0,105.0,5.5,2510810.0,Minor_Fault,Minor_fault_007_window_009.csv,1
12.8,25.13364279208249,631.7,28.20531864737571,114.0,0.0,114.0,5.0,3178499.9999999995,Minor_Fault,Minor_fault_007_window_010.csv,1
9.78,21.51119708430937,462.7316,23.63006559449212,114.0,0.0,114.0,5.5,2313858.0,Minor_Fault,Minor_fault_007_window_011.csv,1
11.86,21.75408927075551,473.2404,24.777005468780928,119.0,0.0,119.0,5.0,2375450.0,Minor_Fault,Minor_fault_007_window_012.csv,1
11.45,20.974448741266123,439.9275,23.896234012915087,119.0,0.0,119.0,5.5,2199817.9999999995,Minor_Fault,Minor_fault_007_window_013.csv,1
13.55,18.746933082507123,351.4475,23.13114783144148,61.0,0.0,61.0,6.0,1757261.9999999995,Minor_Fault,Minor_fault_008_window_001.csv,1
12.61,17.520214039788442,306.9579,21.58633827215723,61.0,0.0,61.0,5.5,1534794.0,Minor_Fault,Minor_fault_008_window_002.csv,1
8.77,13.796271235373707,190.3371,16.347782724271816,49.0,0.0,49.0,5.5,952166.0,Minor_Fault,Minor_fault_008_window_003.csv,1
9.09,14.75540240047692,217.72190000000003,17.33060876022536,67.0,0.0,67.0,6.0,1091422.0000000002,Minor_Fault,Minor_fault_008_window_004.csv,1
8.73,13.90816666566805,193.43709999999996,16.42102311063473,67.0,0.0,67.0,6.0,968198.0,Minor_Fault,Minor_fault_008_window_005.csv,1
6.82,10.81238179126135,116.9076,12.783583222242502,44.0,0.0,44.0,6.0,584876.0000000001,Minor_Fault,Minor_fault_008_window_006.csv,1
6.23,10.532668227946802,110.93710000000002,12.237238250520416,59.0,0.0,59.0,5.5,555790.0,Minor_Fault,Minor_fault_008_window_007.csv,1
8.57,14.853454143733703,220.6251,17.148469319446562,65.0,0.0,65.0,5.5,1103306.0,Minor_Fault,Minor_fault_008_window_008.csv,1
9.6,15.295751043999116,233.96,18.05879287217172,65.0,0.0,65.0,5.5,1169802.0,Minor_Fault,Minor_fault_008_window_009.csv,1
7.7,12.084287318663026,146.03000000000003,14.328991590478376,48.0,0.0,48.0,5.5,731302.0,Minor_Fault,Minor_fault_008_window_010.csv,1
7.77,12.040643670502003,144.9771,14.330038380967444,51.0,0.0,51.0,5.5,724910.0,Minor_Fault,Minor_fault_008_window_011.csv,1
9.45,15.372947017406908,236.3275,18.045220973986435,64.0,0.0,64.0,5.5,1181721.9999999998,Minor_Fault,Minor_fault_008_window_012.csv,1
10.86,18.088128703655336,327.1804,21.09786719078495,64.0,0.0,64.0,5.0,1645702.0000000002,Minor_Fault,Minor_fault_008_window_013.csv,1
25.38,37.14183086494256,1379.5155999999995,44.98510864719569,136.0,0.0,136.0,6.0,6904777.999999997,Minor_Fault,Minor_fault_009_window_001.csv,1
22.88,34.438722392098114,1186.0256,41.3463420389277,109.0,0.0,109.0,6.0,5930416.000000001,Minor_Fault,Minor_fault_009_window_002.csv,1
23.07,35.58321373906522,1266.1651000000002,42.407428594528106,109.0,0.0,109.0,5.5,6330850.000000002,Minor_Fault,Minor_fault_009_window_003.csv,1
30.03,41.35709249935252,1710.4091,51.10978379919055,137.0,0.0,137.0,5.5,8555010.0,Minor_Fault,Minor_fault_009_window_004.csv,1
37.18,48.23077440804781,2326.2076,60.89794742025383,149.0,0.0,149.0,4.5,11635087.999999998,Minor_Fault,Minor_fault_009_window_005.csv,1
34.69,48.379684786075245,2340.5939000000003,59.53142027534703,149.0,0.0,149.0,5.5,11704954.000000002,Minor_Fault,Minor_fault_009_window_006.csv,1
27.92,40.7000442260202,1656.4935999999998,49.35605332682102,130.0,0.0,130.0,5.5,8282565.999999998,Minor_Fault,Minor_fault_009_window_007.csv,1
26.39,36.38540778938722,1323.8979000000002,44.948081160378806,124.0,0.0,124.0,5.5,6652001.999999997,Minor_Fault,Minor_fault_009_window_008.csv,1
22.57,35.0143556273709,1226.0051,41.658252483751646,116.0,0.0,116.0,5.5,6131886.000000002,Minor_Fault,Minor_fault_009_window_009.csv,1
18.76,31.29189032321313,979.1823999999998,36.4845172641766,116.0,0.0,116.0,5.5,4905712.0,Minor_Fault,Minor_fault_009_window_010.csv,1
19.71,32.55404583150917,1059.7659,38.05587996617606,116.0,0.0,116.0,5.5,5301349.999999999,Minor_Fault,Minor_fault_009_window_011.csv,1
22.6,37.761620727929575,1425.9400000000005,44.007953826552765,132.0,0.0,132.0,5.0,7136198.000000001,Minor_Fault,Minor_fault_009_window_012.csv,1
24.73,37.44752461779015,1402.3170999999995,44.87638577247504,132.0,0.0,132.0,5.0,7013210.000000001,Minor_Fault,Minor_fault_009_window_013.csv,1
13.16,21.95664819593373,482.0944,25.598437452313373,89.0,0.0,89.0,6.5,2418922.0000000005,Minor_Fault,Minor_fault_010_window_001.csv,1
14.33,23.297233741369386,542.7611,27.35159958759268,89.0,0.0,89.0,6.0,2719318.0000000005,Minor_Fault,Minor_fault_010_window_002.csv,1
13.6,23.64402672981064,559.0399999999998,27.27636339397171,107.0,0.0,107.0,6.0,2795298.0,Minor_Fault,Minor_fault_010_window_003.csv,1
10.55,18.90839760529697,357.5275000000001,21.65248253665154,107.0,0.0,107.0,5.5,1789150.0,Minor_Fault,Minor_fault_010_window_004.csv,1
8.1,13.1190700889964,172.11,15.418171097766429,49.0,0.0,49.0,5.5,861431.9999999999,Minor_Fault,Minor_fault_010_window_005.csv,1
11.2,19.130081024397157,365.96,22.1675438422934,82.0,0.0,82.0,5.5,1830192.0,Minor_Fault,Minor_fault_010_window_006.csv,1
15.02,22.18331805659379,492.0996000000001,26.789923478800755,82.0,0.0,82.0,5.5,2461298.0,Minor_Fault,Minor_fault_010_window_007.csv,1
13.28,20.652399376343656,426.5215999999999,24.55361480515649,80.0,0.0,80.0,5.5,2132946.0,Minor_Fault,Minor_fault_010_window_008.csv,1
15.05,23.186795811409564,537.6275,27.64290143961013,86.0,0.0,86.0,5.5,2689762.0,Minor_Fault,Minor_fault_010_window_009.csv,1
17.38,23.797806621619568,566.3356000000001,29.468627385747038,86.0,0.0,86.0,5.5,2834416.0,Minor_Fault,Minor_fault_010_window_010.csv,1
17.1,23.9025103284153,571.3300000000002,29.3894538908092,78.0,0.0,78.0,5.5,2856651.9999999995,Minor_Fault,Minor_fault_010_window_011.csv,1
19.44,28.01439629904596,784.8063999999999,34.098680326370406,93.0,0.0,93.0,5.0,3924610.000000001,Minor_Fault,Minor_fault_010_window_012.csv,1
20.52,28.549423812049167,815.0696,35.15878268654932,97.0,0.0,97.0,5.5,4075740.0,Minor_Fault,Minor_fault_010_window_013.csv,1
19.27,29.517064555947968,871.2570999999998,35.25039006876378,129.0,0.0,129.0,6.0,4361386.000000001,Minor_Fault,Minor_fault_011_window_001.csv,1
14.85,21.39363223017541,457.68750000000006,26.042465321086635,84.0,0.0,84.0,5.5,2289950.0000000005,Minor_Fault,Minor_fault_011_window_002.csv,1
11.88,18.691324190650597,349.36560000000003,22.147234590350106,73.0,0.0,73.0,5.5,1752236.0000000005,Minor_Fault,Minor_fault_011_window_003.csv,1
12.87,19.898067745386737,395.9331,23.69746821920013,73.0,0.0,73.0,5.5,1980146.0000000007,Minor_Fault,Minor_fault_011_window_004.csv,1
