Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy
16.67,31.055452017318952,964.4411,35.246701973376176,136.0,0.0,136.0,5.5,4832430.0
55.47,96.7131278575975,9353.4291,111.49147949507172,412.0,0.0,412.0,5.0,46770758.0
55.21,200.42027317614355,40168.28590000001,207.88561758813427,996.0,0.0,996.0,5.5,202474054.00000003
1.04,1.54220621189256,2.3784,1.860107523773828,8.0,0.0,8.0,1.0,12020.0
56.38,104.60820044336867,10942.8756,118.83425432088174,428.0,0.0,428.0,5.5,54736428.0
51.23,193.1099093780534,37291.4371,199.7897645025891,949.0,0.0,949.0,11.5,187458298.00000003
23.83,106.67746294321026,11380.0811,109.30667866146148,632.0,0.0,632.0,23.5,56943918.00000001
17.0,25.92257703238627,671.98,30.999677417676462,94.0,0.0,94.0,5.0,3364317.9999999995
57.43,187.1453047767964,35023.365099999995,195.7589589265329,1023.0,0.0,1023.0,13.0,178284470.0
23.71,32.69137347986468,1068.7259,40.38427911947915,113.0,0.0,113.0,5.0,5362253.999999999
21.76,29.655056904346008,879.4223999999999,36.7820608449282,99.0,0.0,99.0,5.0,4398169.999999999
0.56,1.0423051376636303,1.0863999999999996,1.1832159566199232,4.0,0.0,4.0,14.5,5463.999999999999
57.57,186.054145613582,34616.14509999999,194.75741320935643,947.0,0.0,947.0,5.5,173264950.0
27.8,45.65610583481688,2084.4800000000005,53.45390537650172,173.0,0.0,173.0,5.5,10428672.0
81.16,229.6785893373608,52752.2544,243.5963874937393,870.0,0.0,870.0,5.5,264159104.0000001
104.75,263.359996013062,69358.4875,283.42732754623364,924.0,0.0,924.0,6.0,346813861.99999994
0.9,1.4247806848775009,2.03,1.6852299546352716,9.0,0.0,9.0,1.5,10152.0
97.41,246.3257231796956,60676.36190000003,264.8869003933566,896.0,0.0,896.0,5.5,303754193.99999994
63.0,118.24043301679843,13980.8,133.97686367429264,421.0,0.0,421.0,5.0,69911199.99999999
84.63,244.1993306706634,59633.313100000014,258.44835073956267,924.0,0.0,924.0,6.0,299950726.0
1.11,1.5930787802240038,2.5379,1.94164878389476,9.0,0.0,9.0,1.0,12694.0
112.16,282.21412863285207,79644.81439999999,303.6851659202339,914.0,0.0,914.0,5.5,398855760.00000006
20.99,39.16439582069408,1533.8498999999997,44.434558622765685,183.0,0.0,183.0,5.5,7669361.999999998
98.4,254.86886824404425,64958.13999999999,273.20450215909693,962.0,0.0,962.0,25.0,358723022.00000006
79.61,207.034388206404,42863.2379,221.81296174930804,1023.0,0.0,1023.0,13.5,219062470.0
93.34,151.28358932812242,22886.7244,177.76130062530484,493.0,0.0,493.0,5.0,114456094.0
0.81,1.1197767634667188,1.2538999999999998,1.3820274961085253,4.0,0.0,4.0,18.5,6294.0
71.09,108.2632065846934,11720.9219,129.51721893246471,356.0,0.0,356.0,6.0,58604634.0
46.22,171.63266472323966,29457.7716,177.74718000575987,911.0,0.0,911.0,6.5,147936380.0
5.51,9.4736423829486,89.74990000000001,10.959470790143108,44.0,0.0,44.0,8.0,448754.0
62.82,212.9728330092832,45357.4276,222.04454508048605,962.0,0.0,962.0,6.0,226793188.0
17.34,31.53386116542026,994.3844,35.986942076258714,133.0,0.0,133.0,5.0,4991130.0
1.08,1.7302023003105738,2.9936000000000007,2.039607805437114,8.0,0.0,8.0,1.0,15039.999999999998
83.56,233.37331981184136,54463.1064,247.8817863417964,976.0,0.0,976.0,5.5,272632340.0
